"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Oscar coiffeur barbier","5","19","51 Av. Norman Prince","Pau",,"FR","https://www.planity.com/oscar-coiffeur-barbier-64000-pau","+33 9 81 02 23 22","Barbier",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Oscar%20coiffeur%20barbier&query_place_id=ChIJbW8dcD1JVg0REjUj7vgg1jo","Barbier"
"Cevesse Florence","4.3","18","58 Av. Trespoey","Pau",,"FR",,"+33 5 59 30 15 37","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cevesse%20Florence&query_place_id=ChIJdZShduVIVg0Rh8vhuiBjh_Y","Salon de coiffure"
"F.C. Coiffure","4.9","233","1 Pl. Peyroulet","Pau",,"FR","http://www.facebook.com/FC-Coiffure-240148829854502/","+33 5 59 02 88 75","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=F.C.%20Coiffure&query_place_id=ChIJTSvFD8JIVg0RQd3NkOVIWKc","Salon de coiffure"
"Salon S (anciennement Pourquoi Pas)","4.6","104","15 Bis Av. du Général de Gaulle","Pau",,"FR","https://www.planity.com/salon-s-anciennement-pourquoi-pas-64000-pau","+33 5 59 30 02 52","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Salon%20S%20(anciennement%20Pourquoi%20Pas)&query_place_id=ChIJyZElg8JIVg0Rx02NkqZ1ItE","Salon de coiffure"
"Le coiffeur des lilas de Pau","5","5","1 Rue Tristan Dereme","Pau",,"FR",,"+33 6 59 25 32 83","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Le%20coiffeur%20des%20lilas%20de%20Pau&query_place_id=ChIJLx6LAGhJVg0Rut46L3L6AZk","Salon de coiffure"
"Coiffure à domicile Naadé Coiff","5","4","12 Av. des Lilas","Pau",,"FR",,"+33 7 49 72 14 11","Salon de coiffure","Esthéticien",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Coiffure%20%C3%A0%20domicile%20Naad%C3%A9%20Coiff&query_place_id=ChIJ-ToX8jFJVg0RbEE_vJxSWP8","Salon de coiffure"
"Institut Olympe by Villa Navarre","5","9","59 Av. Trespoey","Pau",,"FR","https://www.planity.com/olympe-linstitut-by-villa-navarre-64000-pau","+33 7 82 77 84 84","Institut de massages","Institut de beauté","Spa",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Institut%20Olympe%20by%20Villa%20Navarre&query_place_id=ChIJYcai-_RJVg0R28UjQmSh3qE","Institut de massages"
"Isa'b coiffure","4.4","5","1 Rue Tristan Dereme","Pau",,"FR",,"+33 5 59 02 53 08","Salon de coiffure",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Isa'b%20coiffure&query_place_id=ChIJPbTVPuxIVg0R6VMp46H_M2w","Salon de coiffure"
"Coiff&Co - Coiffeur Pau","4.5","739","11 Av. du Général Leclerc","Pau",,"FR","https://www.coiffandco.com/salons/11-avenue-du-general-leclerc-64000-pau?utm_campaign=gbp_siteweb_F120&utm_id=gbp_siteweb&utm_medium=siteweb&utm_source=gbp","+33 5 59 30 30 90","Salon de coiffure","Magasin d'articles de coiffure pour hommes","Institut de beauté","Magasin de produits de beauté","Industrie cosmétique","Magasin de cosmétiques",,,,,"https://www.google.com/maps/search/?api=1&query=Coiff%26Co%20-%20Coiffeur%20Pau&query_place_id=ChIJC9txQF9IVg0Rt-lOJZQUpt0","Salon de coiffure"
"3 2 1 Ciseaux","4.8","116","13 Bd d'Alsace Lorraine","Pau",,"FR","http://www.instagram.com/3.2.1ciseaux/?utm_source=gmb","+33 5 59 02 91 51","Salon de coiffure","Barbier",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=3%202%201%20Ciseaux&query_place_id=ChIJWRRYC8NIVg0RNKPlZ-ddHXM","Salon de coiffure"
